date,2020-07-05,2020-07-05,2020-07-05
BAX,Healthcare,NYQ,44375588864.0
BB,Technology,NYQ,2698166528.0
BBAR,Financial Services,NYQ,741380288.0
BBAX,,,
BBBY,Consumer Cyclical,NMS,1376653568.0
BBC,,,
BBCA,,,
BBCP,Industrials,NMS,200283344.0
BBD,,,
BBDC,Financial Services,NYQ,374581664.0
BBDO,Financial Services,NYQ,33749428224.0
BBEU,,,
BBF,Financial Services,NYQ,130156128.0
BBGI,Communication Services,NGM,65563052.0
BBH,,,
BBI,Healthcare,NCM,9771154.0
BBIN,,,
BBIO,Healthcare,NMS,3611971328.0
BBJP,,,
BBK,Financial Services,NYQ,160896672.0
BBL,,,
BBMC,,,
BBN,Financial Services,NYQ,1437652480.0
BBP,,,
BBQ,Consumer Cyclical,NMS,30074004.0
BBRE,,,
BBSA,,,
BBSI,Industrials,NMS,387404896.0
BBU,Industrials,NYQ,2470129152.0
BBUS,,,
BBVA,,,
BBW,Consumer Cyclical,NYQ,32114158.0
BBX,Consumer Cyclical,NYQ,234091104.0
BBY,Consumer Cyclical,NYQ,22589120512.0
BC,Consumer Cyclical,NYQ,5128311296.0
BC PRA,,,
BC PRB,,,
BC PRC,,,
BCBP,Financial Services,NGM,150204624.0
BCC,Basic Materials,NYQ,1446354560.0
BCD,,,
BCDA,,,
BCE,,,
BCEI,Energy,NYQ,328419552.0
BCEL,Healthcare,NMS,638948096.0
BCH,Financial Services,NYQ,9629184000.0
BCI,,,
BCLI,,,
BCM,,,
BCML,,,
BCO,Industrials,NYQ,2210272768.0
BCOM,Communication Services,NMS,281677536.0
BCOR,Financial Services,NMS,558883328.0
BCOV,Technology,NMS,302072512.0
BCOW,Financial Services,NMS,48564568.0
BCPC,Basic Materials,NMS,3042949888.0
BCRX,Healthcare,NMS,885532992.0
BCS,Financial Services,NYQ,25486301184.0
BCSF,Financial Services,NYQ,712122176.0
BCTF,Financial Services,NCM,37380420.0
BCV,Financial Services,NYQ,132385544.0
BCV PRA,,,
BCX,Financial Services,NYQ,553337472.0
BCYC,Healthcare,NMS,277646208.0
BDC,Industrials,NYQ,1425450368.0
BDCS,,,
BDCX,,,
BDCY,,,
BDCZ,,,
BDEC,,,
BDGE,Financial Services,NMS,400577856.0
BDJ,Financial Services,NYQ,1374682880.0
BDL,Consumer Cyclical,ASE,27805404.0
BDN,,,
BDR,Technology,ASE,6647570.0
BDRY,,,
BDSI,Healthcare,NMS,444732608.0
BDTX,Healthcare,NMS,1473056896.0
BDX,Healthcare,NYQ,72253710336.0
BDXB,,,
